Telugu Words
రామాయణం  వ్యలీికి రామాయణ ము
వేదములు  నవ్యుగ వేదం  
"భకిు యోగం  ప్రాచీన దేవ్తా  మూరుులు లక్షణ 
పరిణామము  "
వేద్యంగాలు  దైవ్జా   దృష్టోపదము  
విశవరూపము
నాటకమీమాంస్  
జ్ఞాన యోగం  ష్ణ తతువము  
శి
కథలు  రాయల నీత్మ కథలు  
వేదములు  వేదయాగభూమి  
గురువులు  సాయినాథ భోధామృతము  
జ్ఞాన యోగం  మానవుడే కరు  
ప్రాధమిక
సూకిుమాల
సాంప్రద్యయ
జ్ఞాన యోగం  వ్యాస్వ్యణి  
అత్మమానస్
కరియోగం  
జీవిత చరిత్ర   ఆదరశ భారతము  
గురువులు  అకకలోకట న్న వ్యసి శ్రీ  సావమి స్మరధ  
పిన
మహరిష
నాటకాలు   అనిమాచారా  చరిత్ర   
భకిు యోగం  మహానంది స్థలపురాణము  
శివ్దృష్టో
కీరునలు  అధాాతి 
పత్రము
ఉప వేద్యలు  ఆరోగా సూత్రాలు  
ఉప వేద్యలు  గృహౌషద వ్నము  
వేదములు  చతుర్వవద పరమారధ  రహస్ాము  
స్ంభాషనాతికం  
స్వరాలు
ధరిము  ధరి పధం కథలు  
రామాయణం  కళ్యాణ రాముడు  
యాజావ్లకయ
షతుులు
కీరునలు  అమృతసారము  
మహిళ్లు  కసూురి భాయి 
సిద్యదంతాలు
కథలు  ఉతుమ ఇలాేలు  
స్తభీభవ్
భకిు యోగం  సేతు రామేశవర మహతాము  
ఉప వేద్యలు  టీకాలు  
గురువులు  రమణ స్ిరణామృతము  
పేద
రీతులు
గురువులు  అరవిందులు  
మారిిన
భకిు యోగం  గాయత్రి మంత్ర శంకర  భాషాము  
ఉప వేద్యలు  కనుి 
గోపాల
గురువులు  స్ిృత్మ చిహిము  
బస్వ్
జ్ఞాన యోగం  దమి పధం  
విముకిు
జ్ఞాన యోగం  మానవ్సేవే మాధ వ్ సేవ్  
వ్ాకిుతవ వికాస్ం  విజయం మీది  
అరధ శాస్త్రం  
ఎంపిక
విజయపధం
వ్యగేగయకారులు
కవులు  నారాయణ భట్లో  
కర్మ
